courseId,title,instructor,platform,category,rating,url
1148412,Building a eCommerce Startup in 4 Hours [Livestream],Udemy Expert,Udemy,Web Dev,4.1,https://www.udemy.com/4-hour-startup-building-an-ecommerce-startup-and-marketing-it/
1254172,Responsive PHP Registration Form: From Scratch,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/responsive-php-registration-form/
1105778,A-Frame WebVR Programming Tutorial Series (Virtual Reality),Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/a-frame-webvr/
1240522,Learn Bootstrap And Make Responsive Websites,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-bootstrap-and-make-responsive-websites/
903526,HTML Web Development Crash Course,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/html-tutorials/
53256,Bootstrap Basics: Program Responsive Websites,Udemy Expert,Udemy,Web Dev,4.5,https://www.udemy.com/code-responsive-website-twitter-bootstrap/
1030440,Projects with JSON and APIs,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/projects-with-json-and-apis/
947498,Web Design HTML CSS How to Create a Website from Scratch,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/html-css-how-to-create-a-website-from-scratch/
761768,"Create Complete Sign up System using PHP, jQuery and Ajax",Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/create-sign-up-system-using-jquery-ajax-and-php/
173134,Adobe Flash for Beginners - Build Flash Website From Scratch,Udemy Expert,Udemy,Web Dev,4.4,https://www.udemy.com/adobe-flash-for-beginners-build-flash-website-from-scratch/
881210,Learn Complete WordPress for Building a Professional Sites,Udemy Expert,Udemy,Web Dev,4.5,https://www.udemy.com/learn-complete-wordpress-for-building-a-professional-sites/
1140232,Devtools 2017: Beginner to Expert w/ Chrome Developer Tools,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/master-google-chrome-developer-tools/
767656,Bootstrap Essential Training - Create Your Very Own Website,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/ultimate-bootstrap-basics-course-with-2-projects/
671960,Angular 2 Jump Start With Typescript,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/angular-2-jump-start-with-typescript/
686764,Learn Plugin Development in WordPress By Building  Projects,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/learn-plugin-development-in-wordpress-by-building-projects/
862478,"Build Your Startup with No Coding (Design, Develop & Ship)",Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/buildastartup/
834600,The Web Developers Guide: Learn HTML & CSS Fundamentals,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/become-a-professional-html-and-css-web-developer/
690788,Learn PHP Programming for Absolute Beginners - Lite,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/learn-php-programming-for-absolute-beginners-lite/
854756,Learn Drupal 8 - With a Live Project,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/learn-drupal-8-with-a-live-project/
1023668,Supreme NodeJS Course - For Beginners,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/supreme-node-js-course/
482404,CSS3 for beginners,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/css-learn-css-from-scratch/
624578,Javascript for beginners,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/java-script-quick-beginner-introduction/
753940,Become a Bootstrap Expert: Build 20 Layouts!,Udemy Expert,Udemy,Web Dev,4.3,https://www.udemy.com/become-a-bootstrap-expert-build-20-layouts/
862428,PHP : Learn to upload files to Amazon S3 and use CloudFront,Udemy Expert,Udemy,Web Dev,4.2,https://www.udemy.com/php-learn-to-upload-files-to-amazon-s3-and-use-cloudfront/
